scrambleMode,nodeMode,matrixMode,lastStep,matrixSize,numBytesIn,numBytesOut,Loading Data,Padding Data,Scrambling,Outputting Scrambled Data,Outputting key
scrambling,bit,hashed,Done,20592,2301,3432,6,1,2664,4,43
scrambling,byte,linked,Done,3465,2301,4620,1,0,28,1,9
scrambling,bit,linked,Done,20592,2301,3432,2,2,514,60,57
scrambling,byte,array,Done,3480,2301,4640,3,2,75,1,8
scrambling,bit,array,Done,20720,2301,3456,2,0,687,2,43
scrambling,byte,hashed,Done,3538,2351,4720,1,1,168,1,9
scrambling,bit,hashed,Done,21600,2351,3600,6,1,2761,54,53
scrambling,byte,linked,Done,3534,2351,4712,0,1,30,0,8
scrambling,bit,linked,Done,21024,2351,3504,2,1,531,1,47
scrambling,byte,array,Done,3540,2351,4720,1,0,50,1,9
scrambling,bit,array,Done,22040,2351,3676,2,1,745,2,49
scrambling,byte,hashed,Done,3599,2401,4800,1,12,195,1,8
scrambling,bit,hashed,Done,21608,2401,3604,15,5,2874,16,45
scrambling,byte,linked,Done,3599,2401,4800,2,1,68,0,9
scrambling,bit,linked,Done,21600,2401,3600,2,1,564,1,49
scrambling,byte,array,Done,3596,2401,4796,3,2,81,0,9
scrambling,bit,array,Done,21608,2401,3604,2,0,727,2,47
scrambling,byte,hashed,Done,3720,2451,4960,5,3,201,1,13
scrambling,bit,hashed,Done,21904,2451,3652,5,1,2887,3,46
scrambling,byte,linked,Done,3720,2451,4960,1,0,43,0,10
scrambling,bit,linked,Done,22192,2451,3700,3,1,587,1,50
scrambling,byte,array,Done,3705,2451,4940,5,31,90,1,8
scrambling,bit,array,Done,21904,2451,3652,2,22,764,2,46
scrambling,byte,hashed,Done,3780,2501,5040,1,1,176,1,9
scrambling,bit,hashed,Done,22800,2501,3800,7,1,3355,4,49
scrambling,byte,linked,Done,3782,2501,5044,0,1,42,0,9
scrambling,bit,linked,Done,22800,2501,3800,2,1,630,1,49
scrambling,byte,array,Done,3782,2501,5044,1,27,75,0,10
scrambling,bit,array,Done,22200,2501,3700,3,0,761,2,47
